Id,Label,year,length,file
2023-12-01_1993.txt,"Israel-Hamas war: List of key events, day 56",2023,13,data_in/articles\2023-12-01_1993.txt
2023-12-03_1954.txt,"Israel-Hamas war: List of key events, day 58",2023,13,data_in/articles\2023-12-03_1954.txt
2023-11-03_2619.txt,"Israel-Hamas war: List of key events, day 28",2023,9,data_in/articles\2023-11-03_2619.txt
2023-11-01_2677.txt,"Israel-Hamas war: List of key events, day 26",2023,9,data_in/articles\2023-11-01_2677.txt
2023-11-08_2496.txt,"Israel-Hamas war: List of key events, day 33",2023,9,data_in/articles\2023-11-08_2496.txt
2023-11-02_2642.txt,"Israel-Hamas war: List of key events, day 27",2023,9,data_in/articles\2023-11-02_2642.txt
2023-11-05_2567.txt,"Israel-Hamas war: List of key events, day 30",2023,9,data_in/articles\2023-11-05_2567.txt
2023-11-07_2521.txt,"Israel-Hamas war: List of key events, day 32",2023,9,data_in/articles\2023-11-07_2521.txt
2023-11-04_2588.txt,"Israel-Hamas war: List of key events, day 29",2023,9,data_in/articles\2023-11-04_2588.txt
2023-11-06_2547.txt,"Israel-Hamas war: List of key events, day 31",2023,9,data_in/articles\2023-11-06_2547.txt
2023-10-13_3166.txt,"Israel-Hamas war: List of key events, day 7",2023,9,data_in/articles\2023-10-13_3166.txt
2023-11-30_2007.txt,"Israel-Hamas war: List of key events, day 55",2023,12,data_in/articles\2023-11-30_2007.txt
2023-10-20_2978.txt,"Israel-Hamas war: List of key events, day 14",2023,9,data_in/articles\2023-10-20_2978.txt
2023-10-16_3104.txt,"Israel-Hamas war: List of key events, day 10",2023,9,data_in/articles\2023-10-16_3104.txt
2023-11-27_2068.txt,"Israel-Hamas war: List of key events, day 52",2023,13,data_in/articles\2023-11-27_2068.txt
2023-11-25_2097.txt,"Israel-Hamas war: List of key events, day 50",2023,13,data_in/articles\2023-11-25_2097.txt
2023-10-22_2929.txt,"Israel-Hamas war: List of key events, day 16",2023,9,data_in/articles\2023-10-22_2929.txt
2023-11-28_2047.txt,"Israel-Hamas war: List of key events, day 53",2023,13,data_in/articles\2023-11-28_2047.txt
2023-11-23_2145.txt,"Israel-Hamas war: List of key events, day 48",2023,13,data_in/articles\2023-11-23_2145.txt
2023-10-21_2944.txt,"Israel-Hamas war: List of key events, day 15",2023,14,data_in/articles\2023-10-21_2944.txt
2023-10-25_2866.txt,"Israel-Hamas war: List of key events, day 19",2023,9,data_in/articles\2023-10-25_2866.txt
