,x,y,title,no,topic_no
15,-0.052800342,-0.09792759,"15-Two months of Israel-Gaza war: How divided is the world?

",15,"15: resolution, council, un, ceasefire"
16,-0.47084606,-0.020523021,"16-Israel’s war on Gaza: Can Guterres’s use of UN’s Article 99 bring peace?

",16,"15: resolution, council, un, ceasefire"
17,-0.4850363,-0.030854292,"17-UN secretary-general invokes Article 99 on Gaza

",17,"15: resolution, council, un, ceasefire"
18,-0.4222545,-0.13586037,"18-Ahead of key Israel-Hamas ceasefire vote, where do UNSC members stand?

",18,"15: resolution, council, un, ceasefire"
19,-0.25332186,-0.015409731,"19-US raises criticism of Israel ahead of UNSC ceasefire meeting

",19,"15: resolution, council, un, ceasefire"
20,-0.34405345,0.02034058,"20-‘Double standards’: World reacts to US veto on Gaza truce resolution at UN

",20,"15: resolution, council, un, ceasefire"
21,-0.44555748,-0.0032691248,"21-What’s UN Resolution 377A, can it help in efforts to stop Israel-Gaza war?

",21,"15: resolution, council, un, ceasefire"
22,0.096361294,-0.01600431,"22-What is the global strike demanding an end to Israeli war on Gaza?

",22,"15: resolution, council, un, ceasefire"
23,-0.3770418,-0.027406773,"23-WHO calls for immediate passage of humanitarian relief into Gaza

",23,"15: resolution, council, un, ceasefire"
24,-0.13821808,-0.018433606,"24-Biden warns Israel risks losing support over ‘indiscriminate’ Gaza bombing

",24,"15: resolution, council, un, ceasefire"
25,-0.2648167,-0.02219854,"25-UNGA demands ceasefire in Israel’s war on Gaza: How your country voted

",25,"15: resolution, council, un, ceasefire"
26,-0.37621897,-0.13547307,"26-Israel-Gaza war: Is the US administration divorced from reality?

",26,"15: resolution, council, un, ceasefire"
27,-0.34118393,-0.13027294,"27-Will the US again veto the UNSC resolution on Gaza?

",27,"15: resolution, council, un, ceasefire"
28,-0.3934678,0.0034979773,"28-UNSC struggles with Gaza truce vote delays, Israel orders mass evacuations

",28,"15: resolution, council, un, ceasefire"
29,-0.36364555,-0.052446675,"29-UN Security Council passes resolution on increased Gaza aid delivery

",29,"15: resolution, council, un, ceasefire"
30,-0.26511174,-0.07686251,"30-US ready to back diluted resolution on more aid to Gaza as UN vote delayed

",30,"15: resolution, council, un, ceasefire"
31,-0.27334255,-0.13682604,"31-UN resolution on Gaza aid criticised as ‘insufficient’, ‘meaningless’

",31,"15: resolution, council, un, ceasefire"
32,-0.18604992,-0.095894784,"32-‘Let’s talk about it’: EU’s Borrell presses Israel on two-state solution

",32,"15: resolution, council, un, ceasefire"
33,-0.14169745,-0.10745464,"33-UN Security Council to discuss ICJ ruling in Israel genocide case

",33,"15: resolution, council, un, ceasefire"
34,-0.38414645,-0.0928888,"34-US signals it will block proposed Gaza ceasefire resolution at UN

",34,"15: resolution, council, un, ceasefire"
35,-0.20974675,-0.14840905,"35-Qatar PM: Hamas-Israel talks ‘not very promising’, truce efforts to go on

",35,"15: resolution, council, un, ceasefire"
36,-0.40781763,-0.0420503,"36-US vetoes another UN Security Council resolution urging Gaza war ceasefire

",36,"15: resolution, council, un, ceasefire"
37,-0.3228423,0.053847283,"37-World slams US ceasefire veto at UN Security Council on Israel’s Gaza war

",37,"15: resolution, council, un, ceasefire"
38,-0.1795154,0.023693087,"38-‘Stop the genocide’: New York protesters demand end to Israel’s war on Gaza

",38,"15: resolution, council, un, ceasefire"
39,-0.15570195,-0.19892435,"39-Is Israel’s killing of civilians putting ceasefire talks at risk?

",39,"15: resolution, council, un, ceasefire"
40,-0.1105503,0.07800127,"40-Gaza war: How Biden adopted call for ‘ceasefire’ without shifting policy

",40,"15: resolution, council, un, ceasefire"
41,-0.29820666,-0.097337194,"41-With record of Gaza truce vetoes, US unveils new, ambiguous UN resolution

",41,"15: resolution, council, un, ceasefire"
42,-0.31127083,0.020919694,"42-UN Security Council does not pass draft US resolution on Gaza ceasefire

",42,"15: resolution, council, un, ceasefire"
43,-0.250252,-0.1144829,"43-UK, Australia call for ‘immediate’ end to fighting in Gaza

",43,"15: resolution, council, un, ceasefire"
44,-0.32681188,0.0149908,"44-Can the UN Security Council agree on a ceasefire resolution for Gaza?

",44,"15: resolution, council, un, ceasefire"
45,-0.21808177,-0.12199029,"45-World reacts to UNSC resolution demanding Gaza ceasefire

",45,"15: resolution, council, un, ceasefire"
46,-0.342299,0.019841736,"46-UN Security Council demands immediate Gaza ceasefire as US abstains

",46,"15: resolution, council, un, ceasefire"
47,-0.47652557,0.09745946,"47-What are the implications of the UN Security Council Gaza ceasefire motion?

",47,"15: resolution, council, un, ceasefire"
48,-0.44476986,0.01716624,"48-UN Security Council refers Palestine’s full membership bid to committee

",48,"15: resolution, council, un, ceasefire"
49,-0.36810565,0.024052868,"49-As Palestine applies for full UN membership, what’s in the way?

",49,"15: resolution, council, un, ceasefire"
50,-0.5041644,0.036383364,"50-Palestinian bid for UN membership set for Security Council vote

",50,"15: resolution, council, un, ceasefire"
51,-0.62882143,0.08359882,"51-Jeffrey Sachs on why UN should vote for Palestinian statehood

",51,"15: resolution, council, un, ceasefire"
52,0.12489679,-0.19841784,"52-Mapping Israeli occupation

",52,"19: settlements, west, bank, settlement"
53,0.0048777903,-0.18121901,"53-The draconian law used by Israel to steal Palestinian land

",53,"19: settlements, west, bank, settlement"
54,-0.09882434,0.015591813,"54-Israeli settlements amount to ‘war crime’: UN expert

",54,"19: settlements, west, bank, settlement"
55,-0.09225544,-0.19796312,"55-Four Stories of Resistance

",55,"19: settlements, west, bank, settlement"
56,0.3076409,-0.24316871,"56-Palestinian village target of settler attacks and land theft

",56,"19: settlements, west, bank, settlement"
57,-0.17837714,-0.20543593,"57-Israel approves Palestinian homes after advancing settlements

",57,"19: settlements, west, bank, settlement"
58,-0.009071996,-0.2873322,"58-Palestinians decry Israeli plan for settlements near Jerusalem

",58,"19: settlements, west, bank, settlement"
59,-0.09007218,-0.26301876,"59-Israel delays major settlement plan for occupied East Jerusalem

",59,"19: settlements, west, bank, settlement"
60,0.06345049,-0.03553623,"60-Rights groups slam Israeli ruling that allows razing of villages

",60,"19: settlements, west, bank, settlement"
61,-0.13884144,-0.116422914,"61-Israel set to approve 4,000 settler units in occupied West Bank

",61,"19: settlements, west, bank, settlement"
62,-0.16210064,-0.3038256,"62-European nations urge Israel to reverse settlement plans

",62,"19: settlements, west, bank, settlement"
63,0.14411797,-0.38648927,"63-Nakba Day: What happened in Palestine in 1948?

",63,"19: settlements, west, bank, settlement"
64,0.01457456,-0.08525475,"64-Israel appoints settler as army chief in occupied West Bank

",64,"19: settlements, west, bank, settlement"
65,-0.19431907,-0.11962207,"65-Israel legalises nine settler outposts in occupied West Bank

",65,"19: settlements, west, bank, settlement"
66,-0.19573806,-0.11911208,"66-‘Strongly opposed’: European powers denounce Israel settlements

",66,"19: settlements, west, bank, settlement"
67,-0.2790355,-0.08408592,"67-Palestinian parties condemn PA over UN vote withdrawal

",67,"19: settlements, west, bank, settlement"
68,0.06959689,-0.114378035,"68-Israel and Palestinians agree on steps to curb violence

",68,"19: settlements, west, bank, settlement"
69,-0.21359211,-0.046605296,"69-US says it is ‘extremely troubled’ by new Israeli settlements law

",69,"19: settlements, west, bank, settlement"
70,-0.043029293,-0.2730236,"70-Knesset votes to allow Israelis to resettle evacuated outposts

",70,"19: settlements, west, bank, settlement"
71,-0.03836186,-0.051457018,"71-How problematic are illegal Israeli settlements in the West Bank?

",71,"19: settlements, west, bank, settlement"
72,-0.09036296,-0.22979163,"72-US rebukes Israel over Homesh illegal settlement order

",72,"19: settlements, west, bank, settlement"
73,0.23390503,-0.13535543,"73-Four Israeli settlers killed in attack in the occupied West Bank

",73,"19: settlements, west, bank, settlement"
74,-0.1232164,-0.111131206,"74-UN chief tells Israel to halt illegal settlements in Palestine

",74,"19: settlements, west, bank, settlement"
75,-0.07451982,-0.21288493,"75-Israel approves plans for thousands of illegal settlement homes

",75,"19: settlements, west, bank, settlement"
76,-0.049138192,-0.19452447,"76-Australia, Canada, UK ‘deeply concerned’ over Israeli settlements

",76,"19: settlements, west, bank, settlement"
77,-0.1792672,-0.30005088,"77-Israel sets record for illegal settlement approvals: Rights group

",77,"19: settlements, west, bank, settlement"
78,0.13372214,0.0020231812,"78-Israeli minister dismisses US ‘terror’ label after deadly settler attack

",78,"19: settlements, west, bank, settlement"
79,-0.019560024,0.051674288,"79-New York Mayor Eric Adams meets with Netanyahu, protest leaders in Israel

",79,"19: settlements, west, bank, settlement"
80,-0.24397661,-0.12637955,"80-What were the Oslo Accords between Israel and the Palestinians?

",80,"19: settlements, west, bank, settlement"
81,0.046215415,-0.2828862,"81-Israel-Palestine conflict: A brief history in maps and charts

",81,"19: settlements, west, bank, settlement"
82,-0.08037508,0.00089491426,"82-US announces visa bans after warning Israel on West Bank settler violence

",82,"19: settlements, west, bank, settlement"
83,-0.16349065,0.037222162,"83-Can US visa bans deter West Bank violence by Israeli settlers?

",83,"19: settlements, west, bank, settlement"
84,-0.1309971,-0.101147965,"84-EU mulls sanctions on violent Israeli settlers in occupied West Bank

",84,"19: settlements, west, bank, settlement"
85,-0.16513285,-0.01093688,"85-ICJ to hold hearings on Israel’s occupation of Palestinian territories

",85,"19: settlements, west, bank, settlement"
86,-0.1565089,-0.027035443,"86-How does Israel’s occupation of Palestine work?

",86,"19: settlements, west, bank, settlement"
87,-0.15937263,-0.077467024,"87-US says new Israeli settlements ‘inconsistent’ with international law

",87,"19: settlements, west, bank, settlement"
88,-0.20162523,-0.16372822,"88-Palestinian PM Shtayyeh hands resignation to Abbas over Gaza ‘genocide’

",88,"19: settlements, west, bank, settlement"
89,-0.08763661,-0.16506018,"89-Israeli settlement expansion in Palestinian areas amounts to war crime: UN

",89,"19: settlements, west, bank, settlement"
90,-0.16323584,-0.20681174,"90-Israel seizes 800 hectares of Palestinian land in occupied West Bank

",90,"19: settlements, west, bank, settlement"
91,0.09637986,-0.17403951,"91-Land Day: What happened in Palestine in 1976?

",91,"19: settlements, west, bank, settlement"
92,-0.0878212,0.30791414,"92-Are attitudes towards Palestine shifting in the US?

",92,"28: faculty, cornell, university, staff"
93,0.24436505,0.26548207,"93-How the JDA can and cannot advance Palestinian rights

",93,"28: faculty, cornell, university, staff"
94,0.19618312,0.37245536,"94-Students defend protest against Israeli ambassador at LSE

",94,"28: faculty, cornell, university, staff"
95,0.15180567,0.41657495,"95-The cost of speaking out for Palestinian rights

",95,"28: faculty, cornell, university, staff"
96,0.04907107,0.5876498,"96-Harvard students blame ‘apartheid regime’ for Israel-Gaza war, alumni react

",96,"28: faculty, cornell, university, staff"
97,0.35212135,0.4779905,"97-Tensions surge at US universities as students rally over Israel-Hamas war

",97,"28: faculty, cornell, university, staff"
98,0.06713246,0.54716027,"98-US rights group urges colleges to protect free speech amid Israel-Gaza war

",98,"28: faculty, cornell, university, staff"
99,0.28838333,0.39861256,"99-‘Career on the line’: US students fear job backlash for protesting Israel

",99,"28: faculty, cornell, university, staff"
100,0.11076043,0.27214104,"100-As Israel-Hamas war flares, chaos grips Britain with Braverman sacked

",100,"28: faculty, cornell, university, staff"
101,0.19414532,0.7022027,"101-A Letter: The atmosphere of fear at Cornell University must end

",101,"28: faculty, cornell, university, staff"
102,0.14684129,0.14223918,"102-Israel deserves every bit of the global public criticism it is receiving

",102,"28: faculty, cornell, university, staff"
103,0.21229887,0.5189371,"103-The IHRA definition of anti-Semitism has no place on Australian campuses

",103,"28: faculty, cornell, university, staff"
104,0.13092174,0.72079825,"104-How are Harvard, Penn presidents responding to campus anti-Semitism row?

",104,"28: faculty, cornell, university, staff"
105,0.190592,0.6883043,"105-University of Pennsylvania president quits after anti-Semitism uproar

",105,"28: faculty, cornell, university, staff"
106,0.10715943,0.82002807,"106-Harvard staff defend embattled head Claudine Gay amid anti-Semitism row

",106,"28: faculty, cornell, university, staff"
107,0.20500638,0.64436406,"107-Israel-Gaza war on US campuses: Why are top university leaders under fire?

",107,"28: faculty, cornell, university, staff"
108,0.10273248,0.4783221,"108-Boycotts and protests – how are people around the world defying Israel?

",108,"28: faculty, cornell, university, staff"
109,0.3039139,0.30854446,"109-‘Seen as less human’: Why has Islamophobia surged amid Israel’s Gaza war?

",109,"28: faculty, cornell, university, staff"
110,0.1685465,0.40899226,"110-Gaza, US universities and the reproduction of power

",110,"28: faculty, cornell, university, staff"
111,0.15400627,0.3203561,"111-The weaponisation of nuance in Israel’s war on Gaza

",111,"28: faculty, cornell, university, staff"
112,0.18050525,0.3084684,"112-Walkout over weapons: British school students battle Gaza protest curbs

",112,"28: faculty, cornell, university, staff"
113,0.17590404,0.43335548,"113-Palestine, the alchemy of big lies and future of the university

",113,"28: faculty, cornell, university, staff"
114,0.2824665,0.5266605,"114-Columbia Uni bars people accused of spraying pro-Palestine protesters

",114,"28: faculty, cornell, university, staff"
115,0.16093756,0.08794788,"115-We, Jewish students, must not be silent on the genocide in Gaza

",115,"28: faculty, cornell, university, staff"
116,0.05445065,-0.03279705,"116-‘Birthright’ in a time of genocide

",116,"28: faculty, cornell, university, staff"
117,0.25601092,0.20757158,"117-UK students call on university to suspend rabbi who served in Israeli army

",117,"28: faculty, cornell, university, staff"
118,0.2040352,0.50421274,"118-The Palestine Exception

",118,"28: faculty, cornell, university, staff"
119,0.15527578,0.39201126,"119-How Gaza is changing US campuses

",119,"28: faculty, cornell, university, staff"
120,0.1580792,0.6763264,"120-Columbia president faces anti-Semitism Congress hearing: What’s at stake?

",120,"28: faculty, cornell, university, staff"
121,0.14777975,0.66899925,"121-Columbia University leaders face scrutiny over anti-Semitism on campus

",121,"28: faculty, cornell, university, staff"
122,0.5716885,-0.22485653,"122-Shireen Abu Akleh: Palestinians united in memory of journalist

",122,"33: church, christians, christian, christmas"
123,0.59188473,-0.25748324,"123-Christmas returns to Bethlehem after two years of COVID curbs

",123,"33: church, christians, christian, christmas"
124,0.4729242,-0.12747714,"124-Archbishop says desecration of Jerusalem cemetery a ‘hate crime’

",124,"33: church, christians, christian, christmas"
125,0.5206898,-0.054669596,"125-Israeli police arrest two over Jerusalem cemetery vandalism

",125,"33: church, christians, christian, christmas"
126,0.5531415,-0.20658344,"126-‘Death to Christians’: Violence steps up under new Israeli gov’t

",126,"33: church, christians, christian, christmas"
127,0.6144295,-0.2369789,"127-Church criticises Israel’s ‘heavy-handed restrictions’ on Easter

",127,"33: church, christians, christian, christmas"
128,0.6354337,-0.16110168,"128-Israeli settlers storm Al-Aqsa Mosque complex on fifth day of Sukkot

",128,"33: church, christians, christian, christmas"
129,0.4658179,-0.26693252,"129-‘War knows no religion’: Gaza’s oldest church shelters Muslims, Christians

",129,"33: church, christians, christian, christmas"
130,0.5514347,-0.34224382,"130-‘We were baptised here and we will die here’: Gaza’s oldest church bombed

",130,"33: church, christians, christian, christmas"
131,0.48444703,-0.30485204,"131-Israel bombs Greek Orthodox Gaza church sheltering displaced people

",131,"33: church, christians, christian, christmas"
132,0.55399716,-0.30639157,"132-Under Israeli attack: Who are the Christians of Gaza?

",132,"33: church, christians, christian, christmas"
133,0.4860497,-0.21603188,"133-Gaza’s Christians fear ‘threat of extinction’ amid Israel war

",133,"33: church, christians, christian, christmas"
134,0.20761128,-0.18026696,"134-‘Terrorism’: Israel-Hamas conflict has gone ‘beyond war’ says Pope Francis

",134,"33: church, christians, christian, christmas"
135,0.5377628,-0.26031718,"135-‘If Christ were born today, he would be born under rubble, Israeli bombing’

",135,"33: church, christians, christian, christmas"
136,0.5779377,-0.23736835,"136-Israel army kills 2 Christian women in ‘cold blood’ at Gaza church compound

",136,"33: church, christians, christian, christmas"
137,0.57923764,-0.24997087,"137-‘Without work and hope’: Bethlehem’s Christmas economy bleeds from Gaza war

",137,"33: church, christians, christian, christmas"
138,0.57919604,-0.20655274,"138-‘Our hearts in Bethlehem’, says Pope in Christmas Eve mass, shadowed by war

",138,"33: church, christians, christian, christmas"
139,0.60074,-0.20895748,"139-Muted Christmas as Palestinian Christians mourn for Gaza

",139,"33: church, christians, christian, christmas"
140,0.74463344,-0.34517896,"140-What are Palestine’s unique Christmas rituals, disrupted by Israel’s war?

",140,"33: church, christians, christian, christmas"
141,0.6442387,-0.11213581,"141-What message do Palestinian Christians send by cancelling Christmas?

",141,"33: church, christians, christian, christmas"
142,0.39595413,-0.23120978,"142-As Israel strikes all around it, fear rises in Lebanon’s Sidon

",142,"33: church, christians, christian, christmas"
143,0.5834144,-0.3270543,"143-Palestinian Christians barred from Jerusalem’s Old City at Easter

",143,"33: church, christians, christian, christmas"
144,0.5409637,-0.19982848,"144-Lost in Orientalism: Arab Christians and the war in Gaza

",144,"33: church, christians, christian, christmas"
145,0.32853752,-0.112885036,"145-Pope renews call for Gaza ceasefire, release of captives in Easter address

",145,"33: church, christians, christian, christmas"
