word,term_frequency,document_frequency,tfidf_score
weapons,24,465,77.56571319150218
elbit,7,10,48.847365543479064
hermes,5,2,41.387390308850634
drone,9,218,35.88316758559563
israel,34,4125,35.734906331439355
iai,4,1,34.73177267951317
sting,4,2,33.10991224708051
drones,8,227,31.573957771870372
loewenstein,4,7,29.186595235033604
export,5,43,27.95950358259988
exporter,4,10,27.912780310559466
arms,7,263,26.600988731043444
exports,5,73,25.36012628617034
heron,3,2,24.832434185310383
wars,6,189,24.774397669666506
largest,7,443,22.961860516042087
rafael,3,7,21.889946426275202
uavs,3,7,21.889946426275202
burns,4,50,21.777058870855647
countries,8,775,21.775502642040145
purchased,3,8,21.536597319306054
israeli,18,3625,21.243689264221935
tissue,3,9,21.220515772332575
proven,4,67,20.62633058104852
said,16,3284,20.463494712312418
2014,5,216,19.980964984488885
defence,7,685,19.916489058986464
sales,4,83,19.78109420637969
iron,4,120,18.321199219365987
systems,4,130,18.00357210894834
sold,3,34,17.46222686684647
badsey,2,1,17.365886339756585
spike,3,36,17.295517313382035
tested,3,37,17.215512572135555
gaza,14,3513,16.962121143676725
war,12,2906,16.814561398552335
cubes,2,2,16.554956123540254
supplied,3,48,16.45281015698283
trade,4,202,16.2515374855858
najar,2,3,15.979591978636693
new,7,1226,15.846340340091281
eitan,2,5,15.168661762420363
900,3,79,14.982191147293065
military,9,2253,14.90065790254664
manufacturers,2,6,14.860360402765847
azerbaijan,2,9,14.147010514888382
aerospace,2,10,13.956390155279733
uav,2,11,13.782367401300474
mokhallalati,2,12,13.622281985953402
range,3,128,13.548833838229696
weapon,3,130,13.502679081711255
combat,3,136,13.368328273830336
taxi,2,15,13.207003256396911
2018,3,153,13.017413244073825
colombia,2,18,12.863302742543594
manufactured,2,19,12.760716153768492
used,5,931,12.69378767876323
according,7,1928,12.679333362727556
bomb,3,176,12.599821853593225
1992,2,23,12.396073040180584
philippines,2,25,12.23598762483351
palestinians,9,3041,12.202378898570991
spark,2,28,12.017589040903527
testing,2,29,11.949785937552164
surgical,2,32,11.759165577943513
bone,2,32,11.759165577943513
firms,2,32,11.759165577943513
car,3,249,11.563888297727972
incendiary,2,36,11.530344875588025
skin,2,38,11.425057408617182
period,3,290,11.108301249800235
brazil,2,45,11.094897907898284
carry,3,295,11.05719268834253
surgery,2,46,11.051885497456357
animals,2,48,10.96854010465522
missiles,3,323,10.786040503937723
sell,2,59,10.563491576432273
treaty,2,61,10.497911930786291
based,4,857,10.485945003801099
industry,2,62,10.46591124809341
selling,2,65,10.372871216823624
85,2,66,10.342795462094543
government,5,1508,10.284439458351942
idf,2,68,10.283967691681955
el,3,412,10.057928272431614
market,2,79,9.98812743152871
india,2,81,9.938742206347968
cast,2,84,9.866878187895843
al,7,2903,9.815721821454854
forms,2,88,9.774907961412195
2008,2,90,9.730461687842773
surveillance,2,93,9.665591136336467
country,4,1053,9.662970485347717
2017,2,96,9.602758743869709
march,3,499,9.484446756048136
operation,3,523,9.343795998351585
attack,5,1838,9.29556562916958
100,3,541,9.242473046995773
army,4,1179,9.211282531914108
civilians,4,1231,9.03878482537909
international,5,1972,8.943899222078109
provides,2,135,8.92687092940437
killed,6,2676,8.901829841507308
terrains,1,1,8.682943169878293
tp,1,1,8.682943169878293
dimse,1,1,8.682943169878293
tungsten,1,1,8.682943169878293
procured,1,1,8.682943169878293
napalm,1,1,8.682943169878293
insulate,1,1,8.682943169878293
nizoz,1,1,8.682943169878293
joints,1,1,8.682943169878293
humanly,1,1,8.682943169878293
devastatingly,1,1,8.682943169878293
cyberspying,1,1,8.682943169878293
3mm,1,1,8.682943169878293
maglan,1,1,8.682943169878293
120th,1,1,8.682943169878293
sunroof,1,1,8.682943169878293
wolverhampton,1,1,8.682943169878293
shredding,1,1,8.682943169878293
decapitating,1,1,8.682943169878293
860,1,1,8.682943169878293
use,3,663,8.63342460288541
wounds,2,160,8.589371970907548
owned,2,163,8.552447845228077
treated,2,176,8.399881235728817
